country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Uttar_Pradesh,Bareilly,"Civil Lines, Bareilly - UPPCB",6/3/2025 15:00,28.359581,79.414455,OZONE,11,16,14
India,Uttar_Pradesh,Bareilly,"Rajendra Nagar, Bareilly - UPPCB",6/3/2025 15:00,28.38910936,79.42963708,PM10,NA,NA,NA
India,Uttar_Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",6/3/2025 15:00,28.406963,77.849831,PM10,70,172,116
India,Uttar_Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",6/3/2025 15:00,28.406963,77.849831,NO2,15,52,31
India,Uttar_Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",6/3/2025 15:00,28.406963,77.849831,SO2,10,25,17
India,Uttar_Pradesh,Gorakhpur,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB",6/3/2025 15:00,26.730136,83.433859,NH3,1,1,1
India,Uttar_Pradesh,Gorakhpur,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB",6/3/2025 15:00,26.730136,83.433859,CO,5,10,7
India,Uttar_Pradesh,Gorakhpur,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB",6/3/2025 15:00,26.730136,83.433859,OZONE,6,28,8
India,Uttar_Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",6/3/2025 15:00,28.47272,77.482,NO2,3,52,17
India,Uttar_Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",6/3/2025 15:00,28.47272,77.482,NH3,5,7,6
India,Uttar_Pradesh,Greater Noida,"Knowledge Park - V, Greater Noida - UPPCB",6/3/2025 15:00,28.557054,77.453663,OZONE,48,96,70
India,Uttar_Pradesh,Hapur,"Anand Vihar, Hapur - UPPCB",6/3/2025 15:00,28.725645,77.749675,NO2,34,43,38
India,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",6/3/2025 15:00,17.349694,78.451437,NH3,3,7,5
India,Tripura,Agartala,"Bardowali, Agartala - Tripura SPCB",6/3/2025 15:00,23.8175497,91.2726974,NO2,10,47,24
India,Tripura,Agartala,"Bardowali, Agartala - Tripura SPCB",6/3/2025 15:00,23.8175497,91.2726974,CO,20,75,25
